GID_nmbr,iso3,Country,Subnat,slope,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1007013,ARG,Argentina,Mendoza,0,13159,14183,15124,16171,16697,15743,16209,17468,17809,17715,17206,16409,14350,18375,19118,19267,21656,24498,26395,23616,24891,25021,23450,22707,20896,20230,18625,17963,16364,14957,13372,14686,15292
1007014,ARG,Argentina,Misiones,0,8010,8633,9206,9843,9974,9463,9373,10022,10258,9866,9405,8959,7450,7830,8478,9052,9725,10541,10905,10117,11072,11576,11304,11425,10998,11163,10802,10981,10577,10257,9170,10071,10487
1007015,ARG,Argentina,Neuqun,0,20471,22064,23527,25156,25521,25822,27810,28680,26083,27937,33488,29324,35759,35209,37495,41123,52238,65269,76381,68138,71585,71706,66949,64556,59134,56956,52142,49972,45200,40978,36637,40237,41897
1007016,ARG,Argentina,Ro Negro,0,13425,14469,15429,16497,17326,17101,17248,18189,18224,18242,17774,16792,14208,14778,15878,17293,19522,22173,23976,22022,23860,24691,23861,23866,22730,22822,21844,21960,20914,20049,17925,19686,20499
1007017,ARG,Argentina,Salta,0,7886,8500,9064,9691,9748,9297,9315,9854,9921,9736,9554,8843,8713,9204,9896,10505,11170,11983,12268,11479,12671,13360,13156,13410,13017,13322,12998,13323,12938,12649,11309,12420,12932
1007018,ARG,Argentina,San Juan,0,9732,10489,11185,11959,12174,10846,10615,11314,11760,11579,10992,10317,7873,8393,9194,9976,12034,14456,16402,15165,16539,17231,16767,16888,16199,16382,15796,15999,15354,14834,13263,14566,15167
1007019,ARG,Argentina,San Luis,0,16510,17795,18975,20289,20881,19328,19637,20417,20312,18720,17862,16714,15536,17091,18650,20049,19160,18212,16222,15185,16768,17687,17425,17768,17254,17665,17243,17680,17175,16798,15018,16494,17174
1007020,ARG,Argentina,Santa Cruz,0,27534,29677,31646,33836,36907,41748,44791,40746,34015,35040,41565,38670,51844,49504,51012,54388,65378,78319,88658,79510,84012,84677,79596,77319,71400,69386,64150,62160,56920,52325,46782,51378,53499
1007021,ARG,Argentina,Santa Fe,0,13516,14568,15534,16610,17537,16739,17777,18419,18982,17540,17131,16262,15720,17122,18630,19965,21581,23532,24487,22732,24895,26044,25448,25739,24792,25180,24383,24803,23906,23197,20740,22777,23717
1007022,ARG,Argentina,Santiago del Estero,0,6330,6822,7275,7779,7925,7450,7408,7788,7818,7373,7357,6868,6562,7013,7537,8058,8364,8751,8730,8257,9209,9809,9756,10041,9839,10164,10007,10349,10137,9995,8936,9814,10219
1007023,ARG,Argentina,Tierra del Fuego,0,42375,45673,48702,52074,50404,44623,45682,48895,48064,45322,46757,40772,39605,39773,42836,46143,50938,56674,60127,55420,60257,62582,60704,60945,58268,58734,56442,56975,54489,52461,46903,51512,53638
1007024,ARG,Argentina,Tucumn,0,8214,8854,9441,10094,10391,9858,10100,10834,10815,10161,9716,9280,7678,8131,8836,9515,10218,11069,11446,10552,11477,11923,11568,11617,11110,11203,10769,10874,10402,10018,8957,9837,10243
8,ARM,Armenia,NA,0,5153,4474,2635,2485,2684,2913,3106,3236,3505,3660,3922,4347,4965,5699,6335,7259,8274,9476,10202,8820,9069,9551,10290,10677,11106,11506,11580,12510,13231,14318,13358,14207,16057
9,ASM,American Samoa,NA,0,1616,2204,2367,2135,2421,2600,3680,4760,5840,6920,8000,8000,8000,8000,8000,8000,8000,8000,8833,9667,10500,11333,12167,13000,12400,11800,11200,11882,12089,12348,11143,12068,12397
10,ATG,Antigua and Barbuda,NA,0,17017,17304,17227,17812,18651,17492,18273,18889,19413,19793,20675,19434,19385,20331,21267,22381,24905,26853,26451,22933,20849,20197,20267,20176,20451,20584,21281,21672,23051,23639,19062,20501,22322
1011001,AUS,Australia,Capital Territory,0,45465,44052,43100,44594,46047,37624,39087,39885,41755,42334,44674,43601,46336,46862,48095,48520,50162,50962,51141,54037,53412,54301,56690,55761,57545,59629,59699,59828,60508,62861,61901,63117,64999
1011002,AUS,Australia,New South Wales,0,32585,32037,31543,32578,33520,35504,36483,37362,38792,40436,41127,40566,41606,42366,43080,42906,42706,43109,43469,44026,43660,44000,45645,45854,47479,48845,49488,49445,49551,49056,47797,48735,50188
1011003,AUS,Australia,Northern Territory,0,40878,38902,36957,35827,36807,33958,33692,34547,37806,39603,42965,42248,43136,42950,46919,50744,56287,55861,59672,55061,56080,58083,62421,63300,62742,62057,62625,62783,64188,67970,61864,63078,64959
1011004,AUS,Australia,Queensland,0,28308,28276,28319,28872,29714,29567,30344,30909,32117,32806,33668,34774,35534,36591,38558,40802,41755,42000,44257,41798,41105,42052,42385,42208,42787,43274,44963,46053,46233,45103,42951,43795,45100
1011005,AUS,Australia,South Australia,0,28001,27061,26786,27610,27982,29663,30667,32055,32145,33230,34415,35610,36777,36952,37276,37344,37264,38165,38379,39145,39107,38461,39407,39392,40090,39959,39673,39839,39944,40102,40367,41160,42387
1011006,AUS,Australia,Tasmania,0,25682,25575,25329,25704,26239,26158,26762,27008,28002,28333,28617,29908,30400,31098,31615,32941,33474,34216,34431,34733,34526,34510,34959,35639,36427,37189,36890,37284,38067,39021,39110,39878,41067
1011007,AUS,Australia,Victoria,0,28553,27681,27756,28632,29436,32543,33716,34879,36773,38092,39187,39635,40670,41320,42487,42169,41970,43032,42465,42910,42470,42334,43052,42982,44234,44987,44969,45270,45183,45262,42978,43822,45128
1011008,AUS,Australia,Western Australia,0,37495,37847,37784,39634,41485,35936,35725,37002,36944,39828,41847,42507,44407,45612,48399,52731,56930,59570,61341,61492,67792,69616,69757,73313,68067,64062,64517,64567,70036,75663,82439,84058,86564
1012001,AUT,Austria,Au�erfern,0,37857,38797,39202,39112,39924,40953,41858,42685,44165,45646,47073,50743,50343,50808,51036,55352,58888,60037,59826,57326,50930,59888,61878,60355,61091,62333,60610,60107,62112,62629,57169,59296,61517
1012002,AUT,Austria,Bludenz-Bregenzer Wald,0,36840,37755,38149,38061,38851,39853,40734,41539,42978,44420,45808,48743,50318,50232,53603,55990,58685,58542,60941,60802,61174,61706,61801,62674,63762,64308,62457,61744,62682,64539,60265,62508,64849
1012003,AUT,Austria,Graz,0,47058,48227,48731,48618,49627,50907,52032,53060,54899,56740,58514,58565,58389,59560,61027,61918,62488,63763,64276,61668,61155,62978,63626,62460,62132,61319,62541,63197,63488,64984,60957,63225,65593
1012004,AUT,Austria,Innsbruck,0,42289,43339,43792,43691,44598,45748,46759,47683,49336,50990,52584,53481,53868,54021,54327,55893,57057,58250,58359,56084,56374,57637,58060,57881,56973,56839,56820,57119,57839,58726,54318,56339,58449
1012005,AUT,Austria,Innviertel,0,26512,27171,27455,27391,27960,28681,29315,29894,30930,31967,32967,33350,33990,34511,35763,37147,38390,40469,41317,39547,40946,43804,44599,45925,46817,45387,46093,47956,48979,49490,46703,48441,50256
1012006,AUT,Austria,Klagenfurt-Villach,0,38481,39438,39850,39757,40583,41629,42549,43390,44894,46399,47850,47583,48155,48308,49554,50970,51409,53829,54082,51030,52658,54603,53541,52597,52468,51586,51267,52926,54378,54739,52379,54328,56363
1012007,AUT,Austria,Liezen,0,28632,29343,29650,29581,30196,30974,31658,32284,33403,34523,35602,35825,36854,36932,39087,39665,40721,42374,43955,42588,43013,43477,45156,45767,45934,45658,47480,48327,48944,49326,46669,48406,50219
1012008,AUT,Austria,Linz-Wels,0,48774,49986,50509,50392,51438,52764,53930,54996,56902,58810,60649,62123,61990,63371,63402,64855,66469,67859,70756,66543,68278,69503,68586,68332,67391,67627,67022,68005,69719,69865,66084,68543,71111
1012009,AUT,Austria,Lungau,0,27386,28066,28359,28294,28881,29626,30280,30879,31949,33020,34053,33463,35370,35342,33903,35396,36612,37821,38919,39701,40793,41210,42654,43184,43161,43112,44032,45051,48405,46567,42705,44293,45953
1012010,AUT,Austria,Mittelburgenland,0,22226,22778,23016,22963,23440,24044,24576,25061,25930,26799,27637,28700,28451,30244,29758,28827,30211,30479,29248,29264,29105,30336,29941,31010,31520,31648,32138,34195,33648,33775,32786,34006,35279
1012011,AUT,Austria,Mostviertel-Eisenwurzen,0,28535,29244,29549,29481,30093,30869,31551,32175,33290,34406,35482,35751,35206,35747,36631,36806,38580,40545,40997,38767,38976,40545,41156,40897,40813,41069,41531,43740,43604,44319,41345,42884,44490
1012012,AUT,Austria,M�hlviertel,0,20587,21098,21319,21269,21711,22271,22763,23213,24017,24823,25599,25881,25869,25836,26840,26992,28082,29497,30468,30670,29984,31822,33269,34136,34473,34208,35307,36104,36676,36686,35155,36463,37829
1012013,AUT,Austria,Nieder�sterreich-S�d,0,27053,27725,28015,27950,28530,29266,29912,30504,31561,32619,33639,34408,34556,34936,35351,35941,36549,38606,38847,36603,37735,38452,38932,38880,39452,39032,38635,39733,40676,41070,38659,40097,41599
1012014,AUT,Austria,Nordburgenland,0,26689,27352,27638,27574,28147,28872,29510,30094,31137,32181,33187,33372,34529,34944,37370,36825,37132,38195,38027,37091,38124,38980,40589,41034,40468,40759,41269,41877,42169,42508,40308,41808,43374
1012015,AUT,Austria,Oberk�rnten,0,25388,26019,26290,26230,26774,27464,28071,28626,29618,30612,31568,31592,31738,32167,32549,32881,34892,36189,36305,35705,34535,36033,35960,36286,35954,34581,34981,35909,36099,37032,35806,37138,38529
1012016,AUT,Austria,Oststeiermark,0,23862,24455,24710,24653,25165,25814,26384,26906,27838,28772,29671,30460,30529,30348,31434,31331,32678,35134,35486,34844,36568,36563,37363,37088,37856,37609,37979,39971,40112,40863,39449,40917,42449
1012017,AUT,Austria,Osttirol,0,25271,25899,26169,26109,26651,27338,27942,28494,29482,30471,31423,31997,31994,32217,33320,35348,36768,36563,37264,37309,38208,38518,39449,40800,41862,42273,42776,43622,43942,44129,42956,44555,46223
1012018,AUT,Austria,Pinzgau-Pongau,0,34575,35434,35804,35721,36463,37403,38229,38985,40336,41689,42992,43013,43799,44499,44562,46447,48215,50812,51450,49847,50967,52499,52774,53381,52956,53089,55232,55895,57297,57642,53687,55685,57771
1012019,AUT,Austria,Rheintal-Bodenseegebiet,0,39099,40070,40489,40395,41234,42297,43231,44086,45614,47144,48617,49222,50171,49467,49944,50522,51451,53995,54095,50724,51611,54038,53890,54741,55621,58155,56452,58800,62110,58046,55239,57294,59440
1012020,AUT,Austria,Salzburg und Umgebung,0,46375,47527,48024,47913,48908,50169,51277,52291,54103,55917,57665,58446,59349,59609,62000,62473,64918,67852,67689,64523,67449,69244,70493,68591,68001,68708,69425,70089,70261,71587,67087,69583,72189
1012021,AUT,Austria,Sankt P�lten,0,36415,37320,37710,37622,38403,39394,40264,41060,42483,43908,45280,46375,47016,48335,48067,49297,50493,52725,53709,52643,53870,54852,54899,54803,53910,55469,55725,56495,55615,56205,54150,56165,58269
