GID_nmbr,iso3,Country,Subnat,slope,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1027014,BRA,Brazil,Paraná,0,10997,10920,10682,11030,11491,11792,11865,12080,11940,11823,12170,12180,12397,13422,13873,13218,13250,14687,15033,15002,15695,16410,16740,17981,17271,17263,16909,16997,16905,17078,16685,17427,17853
1027015,BRA,Brazil,Paraíba,0,4454,4423,4326,4467,4654,4776,4805,4893,4836,4788,4929,4933,5021,5062,5030,5195,5751,5762,6171,6394,6480,6589,6905,7025,7380,7226,6992,7076,7023,7084,6853,7158,7333
1027016,BRA,Brazil,Pará,0,5011,4977,4868,5026,5237,5374,5407,5505,5441,5388,5546,5551,5649,5564,6198,6186,6467,6666,7097,6431,7908,8603,8536,9019,8484,8186,7898,8470,8263,8682,9785,10220,10470
1027017,BRA,Brazil,Pernambuco,0,5446,5408,5291,5462,5691,5840,5876,5983,5913,5855,6027,6032,6140,5747,6156,6354,6525,6732,6914,7214,8017,8330,8884,9089,9194,8586,8413,8752,8556,8668,7916,8268,8470
1027018,BRA,Brazil,Piauí,0,3001,2980,2915,3010,3136,3218,3238,3297,3258,3226,3321,3324,3383,3478,3602,3791,4399,4155,4457,4838,5179,5550,5618,5826,6492,6247,6100,6433,6729,6752,6768,7069,7242
1027019,BRA,Brazil,Rio Grande do Norte,0,5808,5767,5641,5825,6069,6227,6266,6380,6305,6244,6427,6432,6547,6220,6634,7075,7519,7976,7968,7757,8291,8588,8914,9054,8714,8503,8125,8371,8393,8517,7976,8331,8534
1027020,BRA,Brazil,Rio Grande do Sul,0,11598,11517,11266,11632,12119,12436,12513,12740,12592,12469,12835,12845,13074,13718,13932,13379,13464,14572,15079,15266,16411,16569,16558,17649,17554,17361,17136,17065,17599,17755,16236,16958,17373
1027021,BRA,Brazil,Rio de Janeiro,0,15286,15180,14849,15331,15973,16391,16492,16792,16597,16434,16917,16931,17232,16457,18071,18664,19259,19200,20441,19491,20487,21419,21958,22757,22414,20361,18213,18338,19281,18915,17095,17856,18292
1027022,BRA,Brazil,Rondônia,0,6370,6325,6187,6388,6656,6830,6872,6997,6916,6848,7049,7055,7180,7822,8024,8676,8355,9101,9944,10033,11104,11678,11741,10678,10700,10571,10445,11001,11142,11095,11312,11815,12103
1027023,BRA,Brazil,Roraima,0,8421,8362,8180,8446,8800,9030,9086,9251,9143,9054,9320,9327,9493,8773,8419,8683,9427,9586,9939,9883,10743,10660,10182,10947,10781,10355,10132,10573,10110,9879,9998,10443,10698
1027024,BRA,Brazil,Santa Catarina,0,12036,11952,11692,12072,12577,12906,12986,13222,13068,12940,13320,13331,13568,13814,14522,14792,15282,16134,17176,16387,17965,18519,18688,19172,19824,18673,17578,18079,18378,18892,18966,19810,20294
1027025,BRA,Brazil,Sergipe,0,6835,6787,6640,6855,7142,7329,7374,7508,7421,7348,7564,7570,7705,7574,7852,7803,8206,8579,9175,8329,9299,9363,9649,9542,9282,8787,8118,8123,8041,8140,7712,8056,8252
1027026,BRA,Brazil,São Paulo,0,16598,16482,16123,16647,17344,17797,17907,18233,18021,17844,18368,18383,18710,18464,18675,19550,20081,21478,21794,21732,22726,23054,23068,23293,23201,22337,21554,21469,21165,21413,20229,21129,21645
1027027,BRA,Brazil,Tocantins,0,5385,5347,5231,5401,5627,5774,5810,5915,5847,5789,5959,5964,6070,6495,6542,6281,6495,7494,8113,7835,8620,8783,9045,9545,9620,9761,9749,10044,9999,10477,10810,11291,11566
28,BRB,Barbados,NA,0,14086,13509,12701,12763,12984,13215,13715,14342,14853,14873,15506,15098,15155,15425,15584,16142,17058,17347,17384,16439,16011,15847,15758,15515,15480,15822,16190,16234,16063,16078,14004,13869,15417
29,BRN,Brunei,NA,0,70359,70439,71781,70154,70571,71966,72321,69660,67770,68367,68866,69339,70632,71332,70415,69482,71353,70342,67934,65753,66484,68038,67793,65535,63131,62170,59981,60173,59650,61424,61604,60127,58670
30,BTN,Bhutan,NA,0,2896,2837,3085,3298,3459,3660,3792,3927,4082,4302,4323,4560,4931,5187,5368,5644,5950,6956,7204,7603,8416,8988,9346,9443,9887,10446,11197,11619,11932,12530,11176,11596,12989
31,BWA,Botswana,NA,0,9165,9569,9570,9477,9551,9957,10280,10881,10689,11474,11462,11263,11725,12055,12166,12494,13287,13783,13945,11729,12653,13250,12976,14144,14665,13682,14373,14657,14962,15118,13545,14907,15519
32,CAF,Central African Republic,NA,0,1201,1157,1049,1019,1036,1081,1011,1035,1054,1062,1007,1029,1043,963,999,985,1012,1039,1038,1103,1131,1160,1209,764,765,795,818,840,855,862,848,838,824
1033001,CAN,Canada,Alberta,0,41755,40358,40220,40821,42175,42843,44582,46944,45975,48269,56091,56957,54863,59063,62845,68900,71177,71212,75947,63060,66416,70244,70811,74254,78120,66731,61417,64645,65333,64380,53108,55579,56645
1033002,CAN,Canada,British Columbia,0,35205,34028,33912,34418,35560,36123,35695,36495,36615,37445,38683,38410,39142,39776,41413,42833,44436,44766,43755,42403,42521,43156,42905,43038,43863,44811,45998,47253,48151,48787,47743,49964,50922
1033003,CAN,Canada,Manitoba,0,29867,28869,28770,29200,30168,30646,31533,32341,33975,34353,34900,35404,36279,35796,36607,37137,39031,40107,40183,39708,40096,40496,42007,42559,42566,43552,43371,44068,43998,43117,42012,43967,44810
1033004,CAN,Canada,New Brunswick,0,27645,26720,26629,27027,27923,28366,28286,28200,29577,31468,31886,32355,32866,33391,34184,34770,35557,36450,35601,36383,36873,37091,36786,36271,36211,37625,38088,38564,39133,39117,38178,39955,40721
1033005,CAN,Canada,Newfoundland and Labrador,0,23347,22566,22489,22825,23582,23956,23345,23686,25480,27727,30753,31255,35948,38395,39789,43961,47680,54760,56936,45695,51151,56775,53445,56450,54984,50358,50420,52626,53391,54031,48228,50472,51440
1033006,CAN,Canada,Northwest Territories,0,62245,60164,59958,60854,62871,63868,65717,67399,70805,71594,75353,87109,85674,98688,109055,103931,101778,103144,106839,87685,102087,96641,88323,88310,92256,91083,84409,85051,84909,81046,75845,79374,80896
1033007,CAN,Canada,Nova Scotia,0,26063,25192,25106,25481,26325,26743,26514,27402,28810,30527,31348,32429,33482,34396,34443,34836,34616,34862,34959,35209,35950,35486,35269,35525,35936,37091,37368,37618,37984,38327,37990,39758,40520
1033008,CAN,Canada,Nunavut,0,36829,35598,35476,36006,37200,37790,38911,36863,35956,36190,37198,37452,39487,37851,39221,38882,39887,40264,45297,44525,52671,52883,55670,56029,56088,56628,59141,66613,67378,71682,84593,88529,90227
1033009,CAN,Canada,Ontario,0,37574,36317,36193,36734,37952,38554,38619,39993,41765,43522,44404,44548,45682,44990,45066,45123,45247,45228,43587,43453,44111,44229,44606,44454,45202,47349,48265,48382,48764,49031,46811,48990,49929
1033010,CAN,Canada,Prince Edward Island,0,24244,23433,23353,23702,24488,24876,25648,25386,26745,27805,28487,28543,30253,29975,30673,31370,31840,32277,31634,33304,33875,33509,33909,34522,34374,35946,36742,37253,36929,37797,37054,38778,39522
1033011,CAN,Canada,Quebec,0,30702,29675,29574,30016,31011,31503,31371,32335,33538,35279,35968,36511,37531,37506,37853,37610,37797,38238,37460,37964,38078,38360,38665,38909,39149,40471,41103,41613,42455,43262,41680,43619,44456
1033012,CAN,Canada,Saskatchewan,0,31955,30886,30780,31240,32276,32788,35135,34867,35771,36707,39015,38052,39244,40697,43575,45868,46087,50131,61305,54822,55316,62363,63151,65275,63064,60665,56432,57571,58426,56803,52550,54995,56049
1033013,CAN,Canada,Yukon,0,45284,43769,43620,44271,45739,46464,47843,45325,44210,44497,47502,50049,48429,47455,48696,50012,52158,53431,56959,59785,61358,62575,61940,62694,62556,59691,61278,60059,59923,58011,60074,62870,64075
1034001,CHE,Switzerland,Aargau,0,56044,54837,54456,53784,54481,53755,53487,54281,55467,56158,59134,61942,60102,56874,56902,57964,58538,58856,58297,55614,54665,55397,55012,55061,56383,55497,56140,57108,57767,57771,56219,58788,59801
1034002,CHE,Switzerland,Appenzell A&I Rh.,0,47393,45950,44981,44587,43176,43377,44677,46902,49544,51957,57225,56603,54151,50138,51895,52531,48245,43421,37701,36173,37844,38632,38763,39590,41583,41594,42280,42301,43316,43399,42962,44925,45699
1034003,CHE,Switzerland,Basel-Land,0,56938,56971,56591,57575,57881,57002,57225,58598,60419,60284,63496,64882,63562,61004,61350,63021,60411,57317,53202,51315,51715,52452,51704,51596,53849,54464,54851,55980,55903,55119,54295,56776,57755
1034005,CHE,Switzerland,Bern w/ Jura,0,48652,47857,47137,46688,46986,47360,46725,47009,47610,48060,49698,52015,52149,50892,52514,53170,59565,66096,71949,69725,70279,71493,71488,71699,74052,73544,73681,74873,76403,76910,74754,78170,79517
1034006,CHE,Switzerland,Freiburg,0,52095,51307,50605,49632,48674,47267,46194,46017,46128,45984,46954,48684,47868,45657,45803,46598,47030,47254,46774,44380,44168,44466,43945,44705,45991,45627,45541,46444,47006,47053,46018,48121,48951
1034007,CHE,Switzerland,Genf,0,71694,69071,66578,65789,63583,63377,63768,65444,67628,69735,69788,65223,64571,70783,72347,74019,79194,84323,88427,84262,84971,84860,85896,85665,86441,84886,85323,87450,90722,90297,85664,89578,91122
1034008,CHE,Switzerland,Glarus,0,58814,57125,57458,59687,63470,62166,63580,66301,69589,69478,70666,65262,64411,78224,82559,86266,74165,60860,45977,44030,43991,44703,44574,45617,46883,46861,46722,48990,48068,49158,46747,48883,49725
1034009,CHE,Switzerland,Graubnden,0,51376,51376,52870,51231,49275,48777,49307,50836,52773,52509,53859,54609,53706,52308,54294,58136,56120,53683,50313,49466,49648,50672,51136,51714,52811,52154,52715,53304,54490,55410,53701,56155,57123
1034010,CHE,Switzerland,Luzern,0,50636,49444,48697,48065,48337,47874,47222,47500,48097,48044,50583,52808,52112,49381,50330,51722,51702,51419,50343,48224,49865,50271,50317,50746,52295,52484,53379,54490,55138,55205,54669,57167,58152
1034011,CHE,Switzerland,Neuenburg,0,50780,48593,48305,47146,48325,47666,47653,48591,49892,50223,51561,50401,52527,55271,57195,58630,59316,59749,59297,54628,54764,58985,60469,60381,62263,63074,62203,64540,67396,67790,63645,66553,67700
1034012,CHE,Switzerland,Nidwalden,0,58832,57778,57840,60017,57173,54553,58843,64414,70690,71126,79273,72889,70638,75097,80887,86325,73095,58591,42483,41459,43816,44432,45046,46449,48378,51465,49734,49397,49526,48329,45673,47759,48583
1034013,CHE,Switzerland,Obwalden,0,46089,45474,44749,44508,43320,43857,42272,41493,40942,41015,44170,46831,45620,44845,45569,46700,46744,46555,45652,44080,45137,45283,45155,43863,44410,44682,45759,46346,46440,47743,46416,48537,49373
1034014,CHE,Switzerland,Schaffhausen,0,53989,52363,52449,54656,55084,54955,55697,57572,59915,59279,61496,62590,62868,61916,63712,64934,63475,61596,58691,56183,59186,59652,59947,59870,59845,59008,59616,60527,62217,62256,61469,64278,65386
1034015,CHE,Switzerland,Schwyz,0,53097,53037,52342,51947,51962,50669,54168,58836,64126,62155,63742,64261,63772,55865,58299,59096,54420,49147,42871,42325,41742,41295,41342,41570,42558,43263,43504,44546,44976,45169,44465,46497,47298
1034016,CHE,Switzerland,Solothurn,0,52528,50451,49840,48461,45690,50001,49396,49765,50473,50999,52306,55005,54965,52898,54208,55178,54330,53149,51104,48407,48624,49137,49008,48889,50230,50060,50005,50820,51772,51623,49704,51975,52871
1034017,CHE,Switzerland,St. Gallen,0,49987,48752,49097,49114,49543,49496,48764,48989,49541,50330,53107,55496,54147,51103,52116,52849,56085,59260,61693,58783,59494,60489,59007,59503,61214,60528,61452,62482,63168,63680,61964,64795,65912
1034018,CHE,Switzerland,Tessin,0,48393,47888,47628,47551,49010,48538,47892,48189,48811,48621,48398,47135,46544,47333,47950,48690,48209,47452,45938,43619,44474,45380,45440,45400,46358,45433,46263,46712,47450,47539,46712,48846,49688
1034019,CHE,Switzerland,Thurgau,0,49527,48790,47642,47832,48116,47741,47646,48500,49711,50224,52396,54868,53793,51565,52267,52910,56971,61022,64348,61743,62140,63415,63426,64212,66051,65548,65663,65693,68428,68960,65512,68506,69687
1034020,CHE,Switzerland,Uri,0,45835,45452,46580,48396,48019,47266,47739,49178,51008,51528,53660,55677,55705,51391,52436,53845,47922,41352,33831,33388,32725,34044,34362,34933,35602,35732,36157,37119,37472,37608,37144,38841,39511
1034021,CHE,Switzerland,Waadt,0,55987,54593,53345,54016,55446,55193,54762,55416,56461,58422,60028,60679,60150,60579,60827,62313,56346,49685,41943,41909,41619,41682,41363,40745,41298,42079,42283,43025,44466,44949,43352,45333,46114
1034022,CHE,Switzerland,Wallis,0,43988,42758,42974,41451,38753,38801,39684,41383,43436,43462,44441,46742,45782,42868,43546,45214,50751,56410,61493,59813,61137,61510,64645,61740,64038,62972,66902,64980,68174,67403,65120,68096,69269
1034023,CHE,Switzerland,Zrich,0,71823,69979,69480,67522,68947,69442,69998,71967,74502,75414,77609,75279,75726,77924,79617,81045,89609,98305,105941,103091,109728,108751,109117,111978,108759,112479,113626,110788,112654,114149,111853,116964,118980
1034024,CHE,Switzerland,Zug,0,105230,99771,94017,92717,97085,91612,91298,92801,94980,96834,96899,95986,96818,105345,108914,110433,111508,112093,111009,106791,106055,107023,107738,107201,110678,110138,111623,114082,119422,116227,111278,116362,118368
1035001,CHL,Chile,Antofagasta,0,34446,36511,39915,41863,43288,46455,48894,51774,53216,52397,54327,55359,56454,58444,61664,64564,67747,70496,72381,69572,81566,77557,78814,73851,74962,67413,63002,67802,69032,66342,75423,83467,85048
1035002,CHL,Chile,Araucanía,0,4919,5214,5700,5979,6182,6634,6983,7394,7600,7483,7758,7906,8062,8346,8806,9220,9675,10068,10337,9915,10497,11133,11548,12084,12235,13008,13696,13671,14360,14582,13662,15119,15405
1035003,CHL,Chile,Arica y Parinacota,0,6757,7162,7830,8212,8491,9112,9591,10156,10439,10278,10657,10859,11074,11464,12096,12665,13289,13828,14198,14013,13369,14394,14706,15608,15738,16048,16630,16756,16795,16634,15133,16747,17064
1035004,CHL,Chile,Atacama,0,12576,13330,14573,15284,15804,16961,17851,18903,19429,19130,19835,20212,20611,21338,22514,23573,24734,25738,26426,25469,31511,36035,35096,35445,34514,31947,33617,34984,33461,32002,33669,37260,37965
1035005,CHL,Chile,Aysén,0,8989,9528,10416,10924,11296,12123,12759,13510,13887,13673,14177,14446,14732,15251,16091,16848,17679,18396,18888,19833,20375,21720,20944,24267,29758,24918,29431,32788,31914,32890,25995,28767,29312
1035006,CHL,Chile,Biobío (Región),0,6748,7153,7820,8202,8481,9101,9579,10143,10426,10265,10644,10846,11060,11450,12081,12649,13273,13811,14181,13676,13223,14803,15266,15510,16236,17214,17351,17235,18209,18273,16755,18542,18893
1035007,CHL,Chile,Coquimbo,0,8408,8912,9743,10219,10566,11340,11935,12638,12990,12790,13261,13513,13780,14266,15052,15760,16537,17208,17668,16504,20157,22219,21681,20455,19715,18819,18921,19519,19946,20142,19909,22032,22449
1035008,CHL,Chile,Los Lagos,0,5819,6168,6743,7073,7313,7848,8260,8747,8991,8852,9178,9353,9538,9874,10418,10908,11445,11910,12228,12181,11948,13259,13452,15052,16691,17033,17823,19232,19904,20308,18624,20610,21000
1035009,CHL,Chile,Los Ríos,0,5754,6099,6668,6994,7232,7761,8168,8649,8890,8753,9076,9248,9431,9764,10301,10786,11318,11777,12092,11722,12525,13047,13708,14478,15291,16176,16698,16555,17450,17354,16195,17922,18262
1035010,CHL,Chile,Magallanes and Chilean Antarctica,0,11132,11799,12900,13529,13990,15013,15801,16732,17198,16933,17557,17891,18245,18888,19928,20866,21894,22782,23392,22887,23159,24287,25651,26160,27352,27477,29432,29197,29777,31705,26140,28927,29475
1035011,CHL,Chile,Maule,0,7031,7453,8147,8545,8836,9482,9980,10568,10862,10695,11089,11300,11523,11930,12587,13179,13828,14390,14774,13855,13160,14326,15283,15234,15423,17068,17128,16526,17758,17707,17054,18873,19230
1035012,CHL,Chile,O'Higgins,0,8669,9189,10046,10536,10894,11691,12305,13030,13393,13187,13673,13932,14208,14709,15519,16249,17050,17742,18216,18316,19681,20566,20506,20482,21302,22089,22325,22109,22758,22674,22775,25204,25681
1035013,CHL,Chile,Santiago Metropolitan Region,0,10817,11466,12534,13146,13594,14588,15354,16258,16712,16454,17060,17384,17728,18353,19364,20275,21275,22138,22730,22353,22648,24141,26638,27787,27754,28575,28806,28032,28544,28074,24211,26793,27300
1035014,CHL,Chile,Tarapacá,0,19794,20981,22937,24057,24875,26695,28097,29752,30581,30110,31219,31812,32442,33585,35435,37102,38931,40511,41594,40824,44389,41422,33990,35615,35791,32795,31214,33589,34110,34324,35473,39257,40000
1035015,CHL,Chile,Valparaíso,0,8178,8669,9477,9939,10278,11029,11609,12292,12635,12440,12898,13144,13404,13876,14640,15329,16085,16737,17185,17306,18280,19066,20110,20886,20069,20279,20515,20386,20107,19928,18513,20487,20875
1036001,CHN,China,Anhui,0,940,1008,1133,1263,1371,1622,1742,1882,2020,2158,2236,2452,2615,2813,3097,3290,3677,4204,4678,5362,6227,7210,7934,8709,9430,9967,10819,11723,12998,13834,14162,15142,15575
1036002,CHN,China,Beijing,0,4238,4549,5111,5487,5988,6466,6817,7668,8780,9876,10869,12021,13511,14700,15862,16886,18483,20592,20641,21509,22241,22774,23975,25457,26783,28549,30557,32519,34999,36954,37249,40753,41919
1036003,CHN,China,Chongqing,0,1078,1157,1300,1479,1719,2005,2169,2400,2527,2638,2773,3036,3387,3741,4090,4415,4813,5491,6284,7067,7976,9206,10127,11018,12123,13178,14444,15324,15872,16981,17766,19005,19548
1036004,CHN,China,Fujian,0,1660,1781,2002,2430,3025,3312,3602,3970,4296,4623,4864,5084,5412,5758,6078,6480,7234,8387,9081,10291,11580,12656,13688,14746,15987,16987,18331,20002,21960,23464,23850,25807,26545
1036005,CHN,China,Gansu,0,906,972,1092,1092,1117,1171,1385,1447,1584,1692,1809,1911,2044,2220,2436,2624,2993,3398,3628,3875,4380,4976,5464,5986,6455,6515,6784,6950,7460,7928,8134,8905,9160
1036006,CHN,China,Guangdong,0,2424,2601,2923,3475,3804,4124,4306,4594,4854,5133,5569,5969,6488,7213,7724,8588,9637,10756,11306,11932,12687,13223,13520,14182,15033,16201,17253,18201,18924,19863,20086,21419,22032
1036007,CHN,China,Guangxi,0,976,1048,1178,1354,1558,1674,1743,1777,1944,1990,2021,2164,2330,2459,2687,2888,3259,3735,4057,4452,5132,5871,6250,6687,7178,7757,8256,8702,9236,9772,10038,10896,11208
1036008,CHN,China,Guizhou,0,667,716,804,843,889,925,963,1018,1058,1140,1199,1284,1365,1490,1588,1868,2111,2517,2920,3273,3659,4231,4897,5591,6299,7168,7823,8594,9336,9988,10518,10969,11283
1036009,CHN,China,Hainan,0,1782,1912,2149,2566,2739,2565,2514,2518,2645,2819,2954,3130,3371,3556,3688,3848,4272,4752,5227,5709,6624,7397,8011,8620,9326,9970,10651,11136,11653,12319,12580,13907,14304
1036010,CHN,China,Hebei,0,1341,1439,1617,1757,1936,2134,2328,2540,2682,2826,3027,3240,3444,3769,4181,4597,5053,5683,6139,6608,7188,7829,8231,8441,8659,9038,9581,9899,10156,10744,10960,11775,12111
1036011,CHN,China,Heilongjiang,0,1564,1679,1886,2027,2307,2460,2707,2901,2938,3004,3265,3418,3566,3803,4053,4458,4824,5186,5618,5712,6161,6890,7587,8117,8397,8226,8426,8570,8856,9401,9628,10257,10551
1036012,CHN,China,Henan,0,951,1021,1147,1274,1437,1670,1871,1986,2077,2164,2368,2550,2719,2964,3384,3929,4414,5117,5686,6139,6812,7367,7882,8382,9029,9627,10234,10919,11758,12416,12410,12732,13096
1036013,CHN,China,Hubei,0,1286,1380,1551,1613,1742,1860,2027,2209,2365,2442,2660,2938,3118,3367,3646,4059,4569,5370,6069,6986,8054,9168,10119,11096,12204,13063,14077,15085,16483,17523,16720,18809,19347
1036014,CHN,China,Hunan,0,1045,1122,1260,1365,1532,1702,1864,2000,2088,2209,2429,2618,2823,3049,3368,3651,4058,4733,5348,6048,6818,7596,8323,9037,9832,10837,11542,12186,12696,13729,14190,14976,15405
1036015,CHN,China,Jiangsu,0,2035,2184,2455,2953,3379,3708,3984,4239,4496,4790,5112,5510,6023,6728,7403,8584,9639,10938,12036,13401,14992,16230,17197,18420,19751,21563,22946,24406,25620,26646,27532,30046,30905
1036016,CHN,China,Jiangxi,0,965,1035,1163,1254,1384,1467,1623,1760,1845,1971,2108,2234,2443,2667,2978,3283,3756,4295,4763,5230,5992,6847,7398,8088,8780,9401,10141,10717,11672,12481,12949,14347,14758
1036017,CHN,China,Jilin,0,1472,1580,1775,1931,2130,2230,2435,2529,2677,2826,2888,3027,3178,3184,3394,3664,4104,4843,5329,6011,6637,7465,8272,8895,9420,9574,9970,10242,10415,10863,11473,11985,12328
1036018,CHN,China,Liaoning,0,2420,2597,2918,3427,3555,3486,3635,3947,4212,4517,4857,5141,5449,5642,5744,6159,6835,7774,8488,8963,9057,9863,10540,11126,11522,11672,11656,11993,12672,13253,13304,14124,14528
1036019,CHN,China,Nei Mongol,0,1249,1340,1506,1656,1802,1911,2096,2253,2419,2625,2825,3085,3415,4024,4607,5259,5975,6904,7716,8773,9447,10107,10970,11725,12443,13302,14007,14614,15415,16257,16256,19154,19702
1036020,CHN,China,Ningxia Hui,0,1139,1223,1374,1468,1596,1747,1846,1935,2061,2194,2336,2584,2786,3088,3331,3506,3939,4679,5588,6169,7096,7964,8428,8894,9238,9511,9990,10918,11503,12001,12485,13791,14186
1036021,CHN,China,Qinghai,0,1253,1345,1511,1616,1714,1780,1787,1865,1980,2117,2233,2470,2716,2912,3095,3304,3711,4240,4885,5118,5799,6399,6937,7595,8085,8760,9650,10080,10863,11416,11537,12395,12750
1036022,CHN,China,Shaanxi,0,1029,1105,1242,1354,1412,1502,1621,1734,1821,1977,2159,2358,2583,2836,3196,3707,4302,4965,5822,6503,7495,8573,9680,10608,11445,11715,12219,13186,14169,14963,14946,16553,17027
1036023,CHN,China,Shandong,0,1676,1798,2021,2195,2587,2888,3173,3375,3565,3799,4024,4305,4661,4813,5439,6194,7071,7874,8692,9469,10111,10716,11462,12320,13032,14114,14670,15043,15367,15967,16298,17714,18221
1036024,CHN,China,Shanghai,0,5378,5772,6487,7558,8346,9074,9786,10664,11366,12223,13169,13729,14369,15718,16833,17672,19022,20697,20826,21904,22550,22682,23162,24236,25803,27418,30056,31878,33795,35017,35580,38122,39213
1036025,CHN,China,Shanxi,0,1220,1310,1471,1552,1590,1781,1965,2137,2283,2342,2486,2664,2969,3471,3933,4365,4845,5677,6395,6328,7224,8063,8494,8568,8594,8436,8413,9849,10553,11072,11584,14262,14670
1036026,CHN,China,Sichuan,0,968,1039,1167,1267,1362,1542,1670,1824,1921,2033,2153,2300,2469,2638,2899,3160,3587,4195,4724,5263,6030,6901,7658,8290,8924,9329,9979,10946,11976,12705,13163,14041,14443
1036027,CHN,China,Tianjin,0,2936,3151,3541,3963,4515,4950,5518,5945,6302,6711,7055,7497,8032,8989,9637,10940,11556,12290,13625,14377,15352,16229,17192,18059,18810,19051,19724,20843,22185,23198,22933,24701,25407
1036028,CHN,China,Xinjiang Uygur,0,1623,1742,1958,2025,2265,2382,2399,2646,2762,2885,3203,3399,3545,3955,4167,4541,5038,5465,5904,5980,7015,7822,8556,9363,10086,9924,9911,10860,11879,12230,12164,13689,14081
1036029,CHN,China,Xizang,0,962,1032,1160,1110,1144,1195,1264,1422,1640,1872,1987,2275,2555,2766,2972,3126,3498,3881,4127,4587,4888,5303,5883,6634,7346,7997,8671,9351,10213,10848,11863,12351,12704
1036030,CHN,China,Yunnan,0,1065,1143,1284,1387,1465,1562,1777,1864,1989,2041,2092,2166,2294,2430,2669,2824,3168,3653,4001,4367,4790,5454,6201,7003,7583,8065,8680,9423,10304,11267,11810,12543,12902
1036031,CHN,China,Zhejiang,0,2103,2257,2536,3047,3601,4126,4484,4802,5098,5477,5852,6300,7092,8137,8782,9404,10520,11798,12366,13180,14516,15270,15792,16480,17206,18400,19411,20445,21614,22562,22859,24740,25447
37,CIV,Côte d'Ivoire,NA,0,4351,4192,4029,3877,3771,3899,4055,4294,4330,4250,4124,3931,3729,3468,3495,3451,3471,3434,3522,3573,3737,3464,3652,3963,4235,4424,4620,4836,4942,5132,5092,5316,5537
38,CMR,Cameroon,NA,0,3483,3252,3060,2736,2709,2711,2750,2799,2854,2905,2938,2986,3037,3116,3245,3228,3261,3309,3308,3298,3299,3315,3372,3442,3530,3615,3667,3691,3733,3757,3666,3689,3724
39,COD,Democratic Republic of the Congo,NA,0,1750,1551,1347,1129,1034,999,970,901,866,805,728,692,691,708,734,755,770,792,815,812,842,870,901,945,999,1033,1021,1024,1048,1060,1044,1074,1133
40,COG,Republic of the Congo,NA,0,5080,5059,5051,4860,4464,4518,4588,4466,4535,4302,4454,4453,4549,4461,4462,4638,4824,4342,4466,4789,5050,4997,5344,5179,5393,5288,4714,4346,4145,4094,3749,3700,3670
1041001,COL,Colombia,Antioquia,0,9388,9238,9460,9542,10012,9986,10804,11169,10644,10053,10200,10004,10394,10714,11063,11632,12178,12847,12477,12339,12517,13101,13471,13951,14605,15209,15605,15355,15427,15791,14920,16390,17478
1041002,COL,Colombia,Atlantico,0,6969,6919,7218,7399,6634,7098,8672,8999,8848,8256,8236,8258,8264,8663,9262,7957,8456,9248,9147,9240,9059,9244,9893,10560,11348,12060,12225,12095,11933,11929,10986,12068,12870
1041003,COL,Colombia,Bogota,0,12154,11725,12129,13247,14615,14340,14750,14876,14766,12706,12619,12679,12898,12970,13559,16670,17358,18198,18112,18429,18814,19181,19806,20839,21847,22945,23330,23572,23900,24331,22418,24625,26261
1041004,COL,Colombia,Bolivar,0,5680,5977,7039,6387,5889,6518,7092,6957,7394,7009,7383,7554,8083,8413,9168,7728,8279,8866,8872,8630,9196,10022,10281,11198,11168,11393,11813,11982,11933,12147,10531,11568,12337
1041005,COL,Colombia,Boyaca,0,6599,6817,6335,7315,6443,7252,7252,7466,7169,6975,7207,7448,7433,8075,8009,8981,9456,10611,11420,11338,11869,13248,13488,13930,14559,15013,15173,14989,15406,15722,14578,16014,17077
1041006,COL,Colombia,Caldas,0,6564,7013,7086,7969,7831,8778,7742,8341,8391,7631,7931,8110,8896,9201,9662,7518,8149,8560,8552,8414,8564,8536,8590,9074,9721,10275,10750,10868,10979,11386,11135,12232,13044
1041007,COL,Colombia,Caqueta,0,5176,4860,4438,4585,4483,5299,5977,6515,7869,6303,7067,6343,5886,6195,6312,4118,4202,4524,4666,4860,4824,4956,5610,6083,6628,6790,7049,7041,7068,7141,6780,7448,7943
1041008,COL,Colombia,Cauca,0,5227,4980,5204,5028,4751,4692,4344,4374,4592,4650,4973,5012,5252,5599,5648,4918,5187,5340,5522,5663,6006,6107,6510,7085,7717,8321,8617,8439,8326,8565,8141,8943,9537
1041009,COL,Colombia,Cesar,0,5708,5716,5434,5509,5627,6820,6989,6822,6935,6771,6681,7432,7283,8328,8660,8482,9030,9076,10166,10142,10132,11403,11413,10544,10336,10569,11501,12285,12356,11198,8640,9491,10121
1041010,COL,Colombia,Choco,0,4339,3531,3259,3110,3104,3137,3714,3710,3849,3594,3577,3479,3546,3503,3999,3811,3895,3897,3948,4651,6036,6981,6411,5335,5218,5667,6266,5486,4927,5227,5531,6076,6479
1041011,COL,Colombia,Cordoba,0,5266,5364,5311,5255,5230,4705,5404,5597,6150,5753,5751,5432,5680,6336,7033,4873,5126,5779,5297,5192,5258,5295,5578,5872,6268,6394,6465,6543,6567,6822,6612,7263,7745
